arm,nfe,complex,n,basis,q0.25@1.0,q0.5@1.0,q1.0@1.0,q0.25@2.0,q0.5@2.0,q1.0@2.0
SigmaDock,25,1YWR_LI9,40,True,False,False,False,False,False,False
SigmaDock,25,1Z95_198,40,True,True,True,True,True,True,True
SigmaDock,25,2BM2_PM2,40,False,False,False,False,False,False,False
SigmaDock,25,2BR1_PFP,40,True,True,True,True,True,True,True
SigmaDock,25,2BSM_BSM,40,True,True,True,True,True,True,True
Minimal,25,1G9V_RQ3,40,True,True,True,True,True,True,True
Minimal,25,1GKC_NFH,40,True,True,True,True,True,True,True
Minimal,25,1GM8_SOX,40,True,True,True,True,True,False,False
Minimal,25,1GPK_HUP,40,False,False,False,False,False,False,False
Minimal,25,1HNN_SKF,40,True,True,True,True,True,True,True
Minimal,25,1HP0_AD3,40,False,False,False,True,False,True,True
Minimal,25,1HQ2_PH2,40,True,True,True,True,True,True,True
Minimal,25,1HVY_D16,40,True,True,True,True,False,False,False
Minimal,25,1HWI_115,40,True,False,False,False,True,True,True
Minimal,25,1HWW_SWA,40,True,True,False,False,True,True,True
Minimal,25,1IA1_TQ3,40,True,True,True,True,True,True,True
Minimal,25,1IG3_VIB,40,True,True,True,True,True,True,True
Minimal,25,1J3J_CP6,40,True,True,True,True,True,True,True
Minimal,25,1JD0_AZM,40,True,True,True,True,True,True,True
Minimal,25,1JJE_BYS,40,True,True,True,True,True,True,True
Minimal,25,1JLA_TNK,40,True,True,True,True,True,True,True
Minimal,25,1K3U_IAD,40,False,False,False,False,False,False,False
Minimal,25,1KE5_LS1,40,True,True,True,True,True,True,True
Minimal,25,1KZK_JE2,40,True,True,True,True,True,True,True
Minimal,25,1L2S_STC,40,True,True,True,True,True,True,True
Minimal,25,1L7F_BCZ,40,True,True,True,True,True,True,True
Minimal,25,1LPZ_CMB,40,False,False,False,False,False,False,False
Minimal,25,1LRH_NLA,40,True,True,True,True,True,True,True
Minimal,25,1M2Z_DEX,40,True,True,True,True,True,True,True
Minimal,25,1MEH_MOA,40,True,True,True,True,True,True,True
Minimal,25,1MMV_3AR,40,False,False,False,False,False,False,False
Minimal,25,1MZC_BNE,40,False,False,False,False,False,False,False
Minimal,25,1N1M_A3M,40,True,True,True,True,True,True,True
Minimal,25,1N2J_PAF,40,True,True,True,True,True,True,True
Minimal,25,1N2V_BDI,40,True,True,True,True,True,True,True
Minimal,25,1N46_PFA,40,True,True,True,True,True,True,True
Minimal,25,1NAV_IH5,40,True,True,True,True,True,True,True
Minimal,25,1OF1_SCT,40,True,True,True,True,True,True,True
Minimal,25,1OF6_DTY,40,True,True,True,True,True,True,True
Minimal,25,1OPK_P16,40,True,True,True,True,True,True,True
Minimal,25,1OQ5_CEL,40,True,True,True,True,False,False,True
Minimal,25,1OWE_675,40,True,True,True,True,True,True,True
Minimal,25,1OYT_FSN,40,True,True,True,True,True,True,True
Minimal,25,1P2Y_NCT,40,False,False,False,True,False,False,False
Minimal,25,1P62_GEO,40,True,True,True,True,True,True,True
Minimal,25,1PMN_984,40,True,True,True,True,True,True,True
Minimal,25,1Q1G_MTI,40,True,True,True,True,True,True,True
Minimal,25,1Q41_IXM,40,True,True,True,True,True,True,True
Minimal,25,1Q4G_BFL,40,True,True,True,True,True,True,True
Minimal,25,1R1H_BIR,40,True,True,True,True,True,True,True
Minimal,25,1R55_097,40,True,True,True,True,True,True,True
Minimal,25,1R58_AO5,40,True,True,True,True,True,True,True
Minimal,25,1R9O_FLP,40,True,False,False,False,True,True,True
Minimal,25,1S19_MC9,40,True,True,True,True,False,False,False
Minimal,25,1S3V_TQD,40,True,True,True,False,True,True,True
Minimal,25,1SG0_STL,40,True,True,True,True,True,True,False
Minimal,25,1SJ0_E4D,40,True,True,True,True,True,True,True
Minimal,25,1SQ5_PAU,40,True,True,True,True,True,True,False
Minimal,25,1SQN_NDR,40,True,True,True,True,True,True,True
Minimal,25,1T40_ID5,40,False,False,False,False,False,False,False
Minimal,25,1T46_STI,40,True,True,True,True,True,True,True
Minimal,25,1T9B_1CS,40,True,True,True,False,True,True,True
Minimal,25,1TOW_CRZ,40,True,True,True,True,True,True,True
Minimal,25,1TT1_KAI,40,True,True,True,True,True,True,True
Minimal,25,1TZ8_DES,40,False,False,False,False,False,False,False
Minimal,25,1U1C_BAU,40,True,False,False,False,True,True,True
Minimal,25,1U4D_DBQ,40,False,True,True,True,False,False,False
Minimal,25,1UML_FR4,40,True,True,True,True,True,True,True
Minimal,25,1UNL_RRC,40,True,True,True,True,True,True,True
Minimal,25,1UOU_CMU,40,True,True,True,True,True,True,True
Minimal,25,1V0P_PVB,40,True,True,True,True,True,True,True
Minimal,25,1V48_HA1,40,True,True,True,True,True,True,True
Minimal,25,1V4S_MRK,40,True,True,True,True,True,True,True
Minimal,25,1VCJ_IBA,40,False,False,False,False,False,False,False
Minimal,25,1W1P_GIO,40,False,True,False,True,False,False,False
Minimal,25,1W2G_THM,40,True,True,True,True,True,True,True
Minimal,25,1X8X_TYR,40,True,True,True,True,True,True,True
Minimal,25,1XM6_5RM,40,False,True,True,True,False,True,True
Minimal,25,1XOQ_ROF,40,True,True,True,True,True,True,True
Minimal,25,1XOZ_CIA,40,True,True,True,True,True,True,True
Minimal,25,1Y6B_AAX,40,True,True,True,False,True,True,True
Minimal,25,1YGC_905,40,False,False,False,False,False,False,True
Minimal,25,1YQY_915,40,False,False,False,False,False,False,False
Minimal,25,1YV3_BIT,40,True,True,True,True,True,True,True
Minimal,25,1YVF_PH7,40,True,True,True,True,True,True,True
Minimal,25,1YWR_LI9,40,True,True,True,True,True,True,True
Minimal,25,1Z95_198,40,True,True,True,True,True,True,True
Minimal,25,2BM2_PM2,40,False,False,False,False,False,False,False
Minimal,25,2BR1_PFP,40,True,True,True,True,True,True,True
Minimal,25,2BSM_BSM,40,True,True,True,True,True,True,True
Separate,25,1G9V_RQ3,40,True,True,True,True,True,True,True
Separate,25,1GKC_NFH,40,True,True,True,True,True,True,True
Separate,25,1GM8_SOX,40,False,False,False,True,True,True,False
Separate,25,1GPK_HUP,40,False,False,True,True,False,False,False
