complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7NFB_GEN,2,Minimal,5,200,0.515,4,0.5,True,0.1493,0.5,0.163,0.195
7NFB_GEN,2,Separate,25,40,0.35,2,0.65,False,0.1755,0.35,0.259,0.257
7NFB_GEN,2,Separate,5,201,0.24378109452736318,6,0.7363,False,0.1306,0.2388,0.216,0.197
7NLV_UJE,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.384,
7NLV_UJE,4,SigmaDock,5,40,0.075,38,0.075,True,0.9777,0.075,0.496,15.512
7NLV_UJE,4,Minimal,25,40,0.925,4,0.925,True,0.0945,0.925,0.431,1.022
7NLV_UJE,4,Minimal,5,202,0.9158415841584159,7,0.8812,True,0.0944,0.8812,0.426,0.641
7NLV_UJE,4,Separate,25,40,0.975,2,0.975,True,0.0317,0.975,0.423,0.923
7NLV_UJE,4,Separate,5,201,0.9303482587064676,7,0.9254,True,0.0702,0.9254,0.417,0.57
7NR8_UOE,8,SigmaDock,25,40,0.525,12,0.45,True,0.4453,0.45,0.315,1.833
7NR8_UOE,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,15.367
7NR8_UOE,8,Minimal,25,40,0.25,24,0.15,True,0.7979,0.15,0.42,1.434
7NR8_UOE,8,Minimal,5,203,0.3251231527093596,92,0.202,True,0.7209,0.202,0.494,1.455
7NR8_UOE,8,Separate,25,40,0.4,14,0.275,True,0.6075,0.275,0.429,0.875
7NR8_UOE,8,Separate,5,201,0.373134328358209,61,0.3881,True,0.5348,0.3881,0.406,1.233
7NUT_GLP,2,SigmaDock,25,42,0.30952380952380953,4,0.4048,False,0.3395,0.3095,0.619,0.804
7NUT_GLP,2,SigmaDock,5,42,0.09523809523809523,33,0.119,False,0.8958,0.0952,0.865,19.862
7NUT_GLP,2,Minimal,25,42,0.35714285714285715,5,0.381,False,0.3561,0.3571,0.458,0.63
7NUT_GLP,2,Minimal,5,202,0.297029702970297,15,0.2921,True,0.3444,0.2921,0.445,0.756
7NUT_GLP,2,Separate,25,40,0.45,5,0.475,False,0.2683,0.45,0.504,0.666
7NUT_GLP,2,Separate,5,200,0.505,8,0.49,True,0.2018,0.49,0.557,0.624
7OEO_V9Z,8,SigmaDock,25,40,0.075,24,0.125,False,0.8127,0.075,0.801,1.408
7OEO_V9Z,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.666
7OEO_V9Z,8,Minimal,25,40,0.15,28,0.1,False,0.8672,0.075,0.687,1.34
7OEO_V9Z,8,Minimal,5,200,0.12,94,0.07,False,0.7978,0.06,0.85,1.412
7OEO_V9Z,8,Separate,25,40,0.0,26,0.125,False,0.8233,,,1.445
7OEO_V9Z,8,Separate,5,201,0.014925373134328358,82,0.1294,False,0.7029,0.01,0.949,1.353
7OP9_06K,1,SigmaDock,25,40,0.0,4,0.5,False,0.3039,,,0.487
7OP9_06K,1,SigmaDock,5,40,0.075,21,0.25,False,0.7206,0.05,0.857,23.093
7OP9_06K,1,Minimal,25,40,0.1,6,0.325,False,0.4335,0.1,0.549,0.793
7OP9_06K,1,Minimal,5,201,0.04477611940298507,12,0.3234,False,0.3636,0.0597,0.614,0.672
7OP9_06K,1,Separate,25,41,0.07317073170731707,8,0.3659,False,0.4495,0.0732,0.437,0.596
7OP9_06K,1,Separate,5,201,0.04975124378109453,14,0.2985,False,0.3839,0.0348,0.472,0.481
7OZC_G6S,2,SigmaDock,25,40,0.1,5,0.55,False,0.3134,0.1,0.196,0.693
7OZC_G6S,2,SigmaDock,5,40,0.05,30,0.15,False,0.8731,0.05,0.487,15.356
7OZC_G6S,2,Minimal,25,40,0.05,6,0.425,False,0.3412,0.05,0.344,0.694
7OZC_G6S,2,Minimal,5,201,0.024875621890547265,7,0.5124,False,0.18,0.0249,0.318,0.705
7OZC_G6S,2,Separate,25,40,0.05,4,0.625,False,0.2736,0.05,0.243,0.923
7OZC_G6S,2,Separate,5,201,0.0845771144278607,8,0.5622,False,0.2287,0.0896,0.152,0.769
7PIH_7QW,3,SigmaDock,25,40,0.55,2,0.625,False,0.1793,0.375,0.5,0.598
7PIH_7QW,3,SigmaDock,5,40,0.225,27,0.225,True,0.7931,0.225,0.718,14.556
7PIH_7QW,3,Minimal,25,40,0.5,4,0.5,False,0.2414,0.45,0.44,0.505
7PIH_7QW,3,Minimal,5,201,0.5472636815920398,5,0.5025,False,0.1464,0.4826,0.445,0.508
7PIH_7QW,3,Separate,25,40,0.45,3,0.5,False,0.2148,0.475,0.435,0.475
7PIH_7QW,3,Separate,5,201,0.5422885572139303,10,0.4826,True,0.1994,0.4826,0.444,0.511
7POM_7VZ,4,SigmaDock,25,40,0.975,2,0.975,True,0.0317,0.975,0.435,0.572
7POM_7VZ,4,SigmaDock,5,40,0.025,38,0.075,False,0.9777,0.075,0.847,13.228
7POM_7VZ,4,Minimal,25,40,0.65,7,0.65,True,0.3148,0.65,0.371,0.587
7POM_7VZ,4,Minimal,5,200,0.695,15,0.7,True,0.2358,0.7,0.456,0.706
7POM_7VZ,4,Separate,25,40,0.85,6,0.85,True,0.1781,0.85,0.442,0.902
7POM_7VZ,4,Separate,5,200,0.76,19,0.75,True,0.2264,0.75,0.449,0.638
7Q2B_M6H,2,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.453,
7Q2B_M6H,2,SigmaDock,5,40,0.475,23,0.45,True,0.6474,0.45,0.562,22.351
7Q2B_M6H,2,Minimal,25,40,0.975,2,0.975,True,0.0317,0.975,0.718,1.511
7Q2B_M6H,2,Minimal,5,200,0.975,4,0.975,True,0.0265,0.975,0.695,1.296
7Q2B_M6H,2,Separate,25,40,1.0,2,0.95,True,0.0538,0.95,0.635,
7Q2B_M6H,2,Separate,5,200,0.99,4,0.98,True,0.0224,0.98,0.575,1.031
7Q5I_I0F,5,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.307,
7Q5I_I0F,5,SigmaDock,5,40,0.05,39,0.05,True,0.9906,0.05,0.277,10.669
7Q5I_I0F,5,Minimal,25,40,0.875,2,0.975,True,0.0317,0.975,0.307,0.604
7Q5I_I0F,5,Minimal,5,201,0.900497512437811,6,0.9453,True,0.0546,0.9453,0.404,0.64
7Q5I_I0F,5,Separate,25,40,0.925,2,0.975,True,0.0317,0.975,0.425,0.877
7Q5I_I0F,5,Separate,5,201,0.9203980099502488,6,0.9552,True,0.0478,0.9552,0.435,0.794
7RSV_7IQ,2,SigmaDock,25,40,0.925,3,0.925,True,0.0852,0.925,0.254,0.634
7RSV_7IQ,2,SigmaDock,5,40,0.325,26,0.325,True,0.7517,0.325,0.338,18.927
7RSV_7IQ,2,Minimal,25,40,0.8,3,0.8,True,0.1561,0.8,0.305,0.46
7RSV_7IQ,2,Minimal,5,200,0.79,7,0.785,True,0.1551,0.785,0.298,0.586
7RSV_7IQ,2,Separate,25,40,0.85,6,0.85,True,0.1781,0.85,0.296,0.564
7RSV_7IQ,2,Separate,5,202,0.801980198019802,13,0.8069,True,0.162,0.8069,0.256,0.572
7SDD_4IP,5,SigmaDock,25,40,0.05,35,0.05,False,0.953,0.05,1.008,1.543
7SDD_4IP,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,10.981
7SDD_4IP,5,Minimal,25,40,0.125,34,0.075,True,0.9401,0.075,0.907,1.049
7SDD_4IP,5,Minimal,5,202,0.06435643564356436,143,0.0396,True,0.9088,0.0396,0.74,1.116
7SDD_4IP,5,Separate,25,40,0.025,38,0.05,False,0.9812,0.025,0.893,1.18
7SDD_4IP,5,Separate,5,201,0.024875621890547265,147,0.0299,False,0.9175,0.0149,0.726,1.226
