arm,nfe,complex,mixed,f24+gnina,sz>=2,f24+sz>=2,sz>=3,f24+sz>=3,sz>=5,f24+sz>=5,top2,top3,sup^0.25,sup^0.5,sup^1.0,f24+sup^0.25,f24+sup^0.5
Minimal,5,1PMN_984,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1Q1G_MTI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1Q41_IXM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1Q4G_BFL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1R1H_BIR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1R55_097,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1R58_AO5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1R9O_FLP,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
Minimal,5,1S19_MC9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1S3V_TQD,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False
Minimal,5,1SG0_STL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1SJ0_E4D,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1SQ5_PAU,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False
Minimal,5,1SQN_NDR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1T40_ID5,False,True,False,True,False,True,False,True,False,False,True,True,True,True,True
Minimal,5,1T46_STI,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
Minimal,5,1T9B_1CS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
Minimal,5,1TOW_CRZ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1TT1_KAI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1TZ8_DES,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Minimal,5,1U1C_BAU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1U4D_DBQ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1UML_FR4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1UNL_RRC,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1UOU_CMU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1V0P_PVB,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1V48_HA1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1V4S_MRK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1VCJ_IBA,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True
Minimal,5,1W1P_GIO,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1W2G_THM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1X8X_TYR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1XM6_5RM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1XOQ_ROF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1XOZ_CIA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1Y6B_AAX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1YGC_905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Minimal,5,1YQY_915,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1YV3_BIT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1YVF_PH7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,1YWR_LI9,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
Minimal,5,1Z95_198,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,2BM2_PM2,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False
Minimal,5,2BR1_PFP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,5,2BSM_BSM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1G9V_RQ3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1GKC_NFH,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1GM8_SOX,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
Separate,5,1GPK_HUP,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False
Separate,5,1HNN_SKF,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Separate,5,1HP0_AD3,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
Separate,5,1HQ2_PH2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1HVY_D16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1HWI_115,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1HWW_SWA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1IA1_TQ3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1IG3_VIB,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Separate,5,1J3J_CP6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1JD0_AZM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1JJE_BYS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1JLA_TNK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1K3U_IAD,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Separate,5,1KE5_LS1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1KZK_JE2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1L2S_STC,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
Separate,5,1L7F_BCZ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1LPZ_CMB,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True
Separate,5,1LRH_NLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1M2Z_DEX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1MEH_MOA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Separate,5,1MMV_3AR,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
Separate,5,1MZC_BNE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Separate,5,1N1M_A3M,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1N2J_PAF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1N2V_BDI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1N46_PFA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1NAV_IH5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1OF1_SCT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1OF6_DTY,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1OPK_P16,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1OQ5_CEL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Separate,5,1OWE_675,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1OYT_FSN,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1P2Y_NCT,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
Separate,5,1P62_GEO,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1PMN_984,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1Q1G_MTI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1Q41_IXM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1Q4G_BFL,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
Separate,5,1R1H_BIR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1R55_097,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1R58_AO5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1R9O_FLP,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
Separate,5,1S19_MC9,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
Separate,5,1S3V_TQD,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False
Separate,5,1SG0_STL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1SJ0_E4D,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1SQ5_PAU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Separate,5,1SQN_NDR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1T40_ID5,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False
Separate,5,1T46_STI,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
Separate,5,1T9B_1CS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
Separate,5,1TOW_CRZ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1TT1_KAI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1TZ8_DES,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Separate,5,1U1C_BAU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1U4D_DBQ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1UML_FR4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1UNL_RRC,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1UOU_CMU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1V0P_PVB,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1V48_HA1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1V4S_MRK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1VCJ_IBA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1W1P_GIO,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1W2G_THM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1X8X_TYR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1XM6_5RM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1XOQ_ROF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1XOZ_CIA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1Y6B_AAX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1YGC_905,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False
Separate,5,1YQY_915,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1YV3_BIT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1YVF_PH7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,1YWR_LI9,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
Separate,5,1Z95_198,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,2BM2_PM2,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False
Separate,5,2BR1_PFP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Separate,5,2BSM_BSM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
