complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7TE8_P0T,5,Separate,25,40,0.425,9,0.275,True,0.5226,0.275,0.31,0.788
7TE8_P0T,5,Separate,5,200,0.49,26,0.25,True,0.3945,0.24,0.294,0.662
7TXK_LW8,3,SigmaDock,25,40,0.7,6,0.7,True,0.276,0.7,0.225,0.623
7TXK_LW8,3,SigmaDock,5,40,0.1,34,0.1,True,0.9342,0.1,0.34,13.503
7TXK_LW8,3,Minimal,25,40,0.9,4,0.875,True,0.1343,0.875,0.293,1.285
7TXK_LW8,3,Minimal,5,200,0.925,4,0.86,True,0.0973,0.86,0.252,1.03
7TXK_LW8,3,Separate,25,40,0.9,5,0.9,True,0.1257,0.9,0.28,0.989
7TXK_LW8,3,Separate,5,200,0.89,10,0.875,True,0.1157,0.875,0.23,0.708
7TYP_KUR,7,SigmaDock,25,40,0.075,12,0.325,False,0.5867,0.075,0.442,0.849
7TYP_KUR,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.793
7TYP_KUR,7,Minimal,25,40,0.125,20,0.175,False,0.7338,0.1,0.287,0.595
7TYP_KUR,7,Minimal,5,200,0.045,45,0.17,False,0.5854,0.025,0.283,0.557
7TYP_KUR,7,Separate,25,40,0.2,20,0.15,True,0.7363,0.15,0.346,0.606
7TYP_KUR,7,Separate,5,200,0.235,50,0.265,True,0.5736,0.265,0.281,0.513
7U0U_FK5,7,SigmaDock,25,40,0.0,37,0.05,False,0.9718,,,0.842
7U0U_FK5,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,11.687
7U0U_FK5,7,Minimal,25,40,0.0,40,0.025,False,1.0,,,0.94
7U0U_FK5,7,Minimal,5,202,0.0,182,0.0248,False,0.97,,,0.743
7U0U_FK5,7,Separate,25,40,0.0,40,0.025,False,1.0,,,0.725
7U0U_FK5,7,Separate,5,200,0.0,197,0.01,False,0.9961,,,0.683
7UJ4_OQ4,9,SigmaDock,25,40,0.3,17,0.3,True,0.6664,0.3,0.452,0.9
7UJ4_OQ4,9,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,10.725
7UJ4_OQ4,9,Minimal,25,40,0.125,32,0.075,False,0.9177,0.05,0.429,1.146
7UJ4_OQ4,9,Minimal,5,200,0.12,112,0.07,False,0.8257,0.07,0.415,1.0
7UJ4_OQ4,9,Separate,25,40,0.025,37,0.05,False,0.9718,0.025,0.593,1.985
7UJ4_OQ4,9,Separate,5,200,0.02,174,0.03,False,0.9591,0.015,0.469,1.639
7UJF_R3V,5,SigmaDock,25,41,1.0,1,1.0,True,-0.0,1.0,0.135,
7UJF_R3V,5,SigmaDock,5,41,0.07317073170731707,38,0.0976,True,0.9636,0.0976,0.464,12.162
7UJF_R3V,5,Minimal,25,41,0.975609756097561,2,0.9756,True,0.0309,0.9756,0.246,0.309
7UJF_R3V,5,Minimal,5,201,0.9253731343283582,8,0.9104,True,0.0819,0.9104,0.232,0.507
7UJF_R3V,5,Separate,25,40,0.925,2,0.875,True,0.1021,0.875,0.26,0.462
7UJF_R3V,5,Separate,5,201,0.9402985074626866,5,0.9154,True,0.0672,0.9154,0.208,0.466
7UQ3_O2U,2,SigmaDock,25,40,0.725,3,0.725,True,0.2108,0.725,0.149,0.261
7UQ3_O2U,2,SigmaDock,5,40,0.325,21,0.325,True,0.6878,0.325,0.443,22.506
7UQ3_O2U,2,Minimal,25,40,0.525,3,0.55,True,0.2291,0.55,0.248,0.32
7UQ3_O2U,2,Minimal,5,200,0.585,6,0.58,True,0.178,0.58,0.171,0.261
7UQ3_O2U,2,Separate,25,41,0.6585365853658537,3,0.6098,True,0.2047,0.6098,0.203,0.276
7UQ3_O2U,2,Separate,5,202,0.7376237623762376,5,0.7327,True,0.1298,0.7327,0.168,0.255
7USH_82V,3,SigmaDock,25,40,0.9,2,0.9,True,0.0881,0.9,0.502,1.359
7USH_82V,3,SigmaDock,5,40,0.075,39,0.05,True,0.9906,0.05,0.649,17.464
7USH_82V,3,Minimal,25,40,0.6,5,0.9,True,0.1257,0.9,0.686,1.273
7USH_82V,3,Minimal,5,201,0.5223880597014925,24,0.7811,True,0.2224,0.7811,0.589,1.164
7USH_82V,3,Separate,25,40,0.525,7,0.725,True,0.2783,0.725,0.637,1.131
7USH_82V,3,Separate,5,204,0.45098039215686275,28,0.6324,True,0.3229,0.6324,0.559,1.261
7UY4_SMI,3,SigmaDock,25,41,0.1951219512195122,12,0.2439,True,0.5703,0.2439,0.535,0.956
7UY4_SMI,3,SigmaDock,5,41,0.0,40,0.0488,False,0.9909,,,14.938
7UY4_SMI,3,Minimal,25,41,0.0975609756097561,17,0.2195,False,0.6834,0.0488,0.858,1.099
7UY4_SMI,3,Minimal,5,203,0.09359605911330049,52,0.2069,False,0.5995,0.0837,0.546,1.056
7UY4_SMI,3,Separate,25,40,0.025,19,0.275,False,0.6938,0.025,0.393,1.001
7UY4_SMI,3,Separate,5,200,0.06,42,0.175,False,0.5678,0.045,0.762,0.783
7VC5_9SF,3,SigmaDock,25,40,0.95,2,0.85,True,0.1146,0.85,0.246,0.663
7VC5_9SF,3,SigmaDock,5,40,0.175,29,0.175,False,0.8478,0.1,0.429,14.3
7VC5_9SF,3,Minimal,25,40,0.625,2,0.525,True,0.1876,0.525,0.274,0.464
7VC5_9SF,3,Minimal,5,200,0.71,7,0.605,True,0.1518,0.605,0.284,0.354
7VC5_9SF,3,Separate,25,40,0.625,3,0.5,False,0.2148,0.475,0.324,0.356
7VC5_9SF,3,Separate,5,200,0.715,6,0.595,True,0.1675,0.595,0.238,0.291
7VQ9_ISY,4,SigmaDock,25,40,0.725,8,0.625,True,0.3536,0.625,0.574,1.239
7VQ9_ISY,4,SigmaDock,5,40,0.05,39,0.05,True,0.9906,0.05,0.654,11.848
7VQ9_ISY,4,Minimal,25,40,0.525,15,0.225,True,0.6728,0.225,0.592,0.985
7VQ9_ISY,4,Minimal,5,201,0.5223880597014925,22,0.3134,True,0.4447,0.3134,0.484,1.115
7VQ9_ISY,4,Separate,25,40,0.35,21,0.125,True,0.7787,0.125,0.633,1.534
7VQ9_ISY,4,Separate,5,200,0.43,29,0.22,True,0.5001,0.22,0.598,1.234
7W05_GMP,3,SigmaDock,25,40,0.575,2,0.925,True,0.0722,0.925,0.488,0.473
7W05_GMP,3,SigmaDock,5,40,0.125,36,0.075,False,0.9553,0.075,0.682,14.699
7W05_GMP,3,Minimal,25,40,0.45,8,0.35,True,0.4853,0.35,0.533,0.568
7W05_GMP,3,Minimal,5,203,0.3251231527093596,13,0.3448,True,0.3157,0.3448,0.475,0.509
7W05_GMP,3,Separate,25,40,0.175,11,0.3,False,0.5536,0.1,0.552,0.748
7W05_GMP,3,Separate,5,200,0.2,30,0.255,False,0.4577,0.1,0.39,0.635
7WKL_CAQ,1,SigmaDock,25,40,0.975,3,0.625,True,0.2042,0.625,0.426,0.691
7WKL_CAQ,1,SigmaDock,5,40,0.4,18,0.325,True,0.6347,0.325,0.829,42.829
7WKL_CAQ,1,Minimal,25,40,1.0,2,0.525,True,0.1876,0.525,0.378,
7WKL_CAQ,1,Minimal,5,200,0.94,6,0.495,True,0.1664,0.495,0.427,0.485
7WKL_CAQ,1,Separate,25,40,0.925,2,0.55,True,0.1865,0.55,0.287,0.472
7WKL_CAQ,1,Separate,5,200,0.94,6,0.515,True,0.1556,0.515,0.359,0.489
7WL4_JFU,5,SigmaDock,25,40,0.15,9,0.5,False,0.4536,0.075,0.589,0.917
7WL4_JFU,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,13.773
7WL4_JFU,5,Minimal,25,40,0.475,9,0.475,True,0.433,0.475,0.404,1.028
7WL4_JFU,5,Minimal,5,200,0.48,34,0.465,True,0.3962,0.465,0.459,0.996
7WL4_JFU,5,Separate,25,40,0.5,8,0.45,True,0.4162,0.45,0.48,0.984
7WL4_JFU,5,Separate,5,200,0.38,29,0.4,True,0.3528,0.4,0.481,0.983
7Z7F_IF3,3,SigmaDock,25,40,0.125,4,0.425,False,0.3214,0.125,0.183,0.336
7Z7F_IF3,3,SigmaDock,5,40,0.025,34,0.175,False,0.9077,0.025,0.442,12.268
7Z7F_IF3,3,Minimal,25,40,0.1,5,0.375,False,0.3789,0.1,0.201,0.377
7Z7F_IF3,3,Minimal,5,200,0.195,14,0.365,False,0.3255,0.195,0.264,0.325
7Z7F_IF3,3,Separate,25,40,0.15,6,0.475,False,0.3883,0.15,0.154,0.284
7Z7F_IF3,3,Separate,5,200,0.14,13,0.375,False,0.3465,0.135,0.274,0.328
7ZF0_DHR,2,SigmaDock,25,42,0.9523809523809523,3,0.881,True,0.1136,0.881,0.672,0.978
7ZF0_DHR,2,SigmaDock,5,42,0.35714285714285715,29,0.1905,True,0.8167,0.1429,3.474,23.945
7ZF0_DHR,2,Minimal,25,42,0.8809523809523809,7,0.7381,True,0.2656,0.7381,0.637,0.953
7ZF0_DHR,2,Minimal,5,203,0.812807881773399,9,0.7094,True,0.1867,0.7094,0.602,0.959
7ZF0_DHR,2,Separate,25,40,0.875,5,0.7,True,0.2662,0.7,0.66,1.17
7ZF0_DHR,2,Separate,5,203,0.896551724137931,8,0.931,True,0.0685,0.931,0.609,1.081
7ZOC_T8E,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.414,
7ZOC_T8E,4,SigmaDock,5,40,0.075,39,0.05,True,0.9906,0.05,0.538,15.402
7ZOC_T8E,4,Minimal,25,40,0.95,3,0.925,True,0.0852,0.925,0.434,0.458
7ZOC_T8E,4,Minimal,5,201,0.9104477611940298,3,0.9154,True,0.0621,0.9154,0.507,0.808
7ZOC_T8E,4,Separate,25,40,1.0,2,0.975,True,0.0317,0.975,0.509,
7ZOC_T8E,4,Separate,5,200,0.995,3,0.99,True,0.0119,0.99,0.432,1.852
8A1H_DLZ,5,SigmaDock,25,40,0.1,6,0.45,False,0.3702,0.1,0.453,0.878
8A1H_DLZ,5,SigmaDock,5,40,0.0,38,0.05,False,0.9812,,,10.661
8A1H_DLZ,5,Minimal,25,40,0.75,5,0.775,True,0.2146,0.775,0.319,0.614
8A1H_DLZ,5,Minimal,5,200,0.715,12,0.75,True,0.1833,0.75,0.273,0.499
8A1H_DLZ,5,Separate,25,40,0.25,11,0.45,False,0.4632,0.25,0.414,0.678
8A1H_DLZ,5,Separate,5,200,0.165,32,0.385,False,0.4568,0.17,0.373,0.699
8AAU_LH0,6,SigmaDock,25,40,0.55,5,0.55,True,0.3247,0.55,0.253,0.957
8AAU_LH0,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,11.504
8AAU_LH0,6,Minimal,25,40,0.75,6,0.425,True,0.3707,0.425,0.287,0.471
8AAU_LH0,6,Minimal,5,200,0.705,16,0.395,True,0.3135,0.395,0.262,0.409
8AAU_LH0,6,Separate,25,40,0.75,6,0.375,True,0.3672,0.375,0.248,0.465
8AAU_LH0,6,Separate,5,200,0.555,22,0.32,True,0.3738,0.32,0.229,0.521
8AIE_M7L,4,SigmaDock,25,40,0.3,9,0.275,True,0.5116,0.275,0.376,0.544
8AIE_M7L,4,SigmaDock,5,40,0.025,39,0.05,False,0.9906,0.025,0.649,9.733
8AIE_M7L,4,Minimal,25,40,0.125,13,0.275,False,0.5848,0.125,0.468,0.686
8AIE_M7L,4,Minimal,5,200,0.155,23,0.23,False,0.4409,0.135,0.498,0.694
8AIE_M7L,4,Separate,25,40,0.425,10,0.375,True,0.4967,0.375,0.419,0.557
8AIE_M7L,4,Separate,5,200,0.355,26,0.36,True,0.3929,0.36,0.383,0.613
8D5D_5DK,7,SigmaDock,25,40,0.1,4,0.825,False,0.171,0.1,0.415,0.43
8D5D_5DK,7,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.229
8D5D_5DK,7,Minimal,25,40,0.125,17,0.4,False,0.6037,0.125,0.483,0.894
8D5D_5DK,7,Minimal,5,200,0.12,46,0.465,False,0.4605,0.11,0.591,0.779
8D5D_5DK,7,Separate,25,40,0.45,14,0.425,True,0.5081,0.425,0.441,0.866
8D5D_5DK,7,Separate,5,200,0.345,41,0.355,True,0.4006,0.355,0.511,0.86
8GFD_ZHR,5,SigmaDock,25,40,0.0,19,0.3,False,0.691,,,1.427
8GFD_ZHR,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,18.302
8GFD_ZHR,5,Minimal,25,40,0.0,36,0.05,False,0.9624,,,1.308
8GFD_ZHR,5,Minimal,5,202,0.0297029702970297,136,0.0446,True,0.8923,0.0446,0.447,1.142
8GFD_ZHR,5,Separate,25,40,0.025,34,0.075,False,0.9401,0.025,0.281,0.977
8GFD_ZHR,5,Separate,5,200,0.005,113,0.045,False,0.8535,0.005,0.196,0.917
8SLG_G5A,5,SigmaDock,25,40,0.975,2,0.95,True,0.0538,0.95,0.263,0.488
8SLG_G5A,5,SigmaDock,5,40,0.05,39,0.05,True,0.9906,0.05,0.387,11.708
8SLG_G5A,5,Minimal,25,40,0.95,3,0.65,True,0.1999,0.65,0.307,0.49
8SLG_G5A,5,Minimal,5,200,0.92,4,0.755,True,0.1175,0.755,0.284,0.269
8SLG_G5A,5,Separate,25,40,0.875,3,0.775,True,0.1834,0.775,0.254,0.494
8SLG_G5A,5,Separate,5,200,0.93,5,0.76,True,0.1317,0.76,0.25,0.446
